iter	Passed	Remaining
0	214	107100
1	416	103821
2	498	82600
3	580	71932
4	668	66136
5	773	63713
6	860	60610
7	930	57207
8	1494	81544
9	1688	82742
10	1948	86610
11	2077	84505
12	2150	80567
13	2222	77164
14	2281	73784
15	2348	71051
16	2464	70009
17	2542	68084
18	2595	65697
19	2666	63998
20	2733	62351
21	2804	60923
22	2876	59663
23	2967	58863
24	3047	57905
25	3106	56637
26	3160	55371
27	3241	54644
28	3277	53231
29	3353	52534
30	3513	53148
31	3600	52663
32	3720	52655
33	3831	52509
34	3866	51374
35	3943	50825
36	4030	50433
37	4132	50237
38	4246	50196
39	4286	49299
40	4343	48628
41	4418	48185
42	4495	47780
43	4568	47348
44	4694	47465
45	4774	47127
46	4831	46565
47	4871	45873
48	4979	45834
49	5070	45634
50	5110	44991
51	5181	44638
52	5270	44450
53	5326	43991
54	5508	44569
55	5563	44107
56	5637	43817
57	5674	43242
58	5725	42796
59	5822	42695
60	5866	42216
61	5964	42139
62	6037	41879
63	6116	41671
64	6209	41556
65	6286	41335
66	6345	41008
67	6405	40691
68	6445	40260
69	6485	39839
70	6532	39469
71	6613	39313
72	6692	39146
73	6764	38943
74	6838	38750
75	6891	38447
76	6938	38116
77	7024	38006
78	7065	37650
79	7110	37331
80	7155	37015
81	7195	36681
82	7258	36467
83	7331	36310
84	7372	35995
85	7501	36114
86	7554	35863
87	7595	35559
88	7636	35266
89	7681	34993
90	7727	34732
91	7784	34524
92	7861	34403
93	7906	34148
94	7959	33931
95	8013	33722
96	8052	33455
97	8097	33216
98	8169	33089
99	8248	32992
100	8323	32882
101	8373	32673
102	8413	32427
103	8452	32185
104	8524	32067
105	8602	31974
106	8647	31762
107	8720	31652
108	8801	31573
109	8841	31348
110	8920	31262
111	8966	31061
112	9023	30904
113	9097	30804
114	9170	30702
115	9240	30588
116	9285	30396
117	9376	30355
118	9545	30562
119	9653	30568
120	9744	30521
121	9827	30448
122	9901	30347
123	9951	30176
124	10032	30098
125	10093	29960
126	10169	29869
127	10245	29774
128	10292	29599
129	10366	29504
130	10418	29346
131	10491	29249
132	10537	29078
133	10634	29046
134	10720	28983
135	10793	28889
136	10838	28717
137	10916	28637
138	10979	28514
139	11033	28372
140	11114	28297
141	11187	28204
142	11266	28126
143	11347	28052
144	11522	28209
145	11601	28129
146	11649	27973
147	11721	27878
148	11783	27757
149	11862	27678
150	11934	27584
151	12013	27505
152	12085	27409
153	12155	27309
154	12225	27212
155	12298	27120
156	12370	27025
157	12461	26972
158	12530	26873
159	12600	26776
160	12676	26690
